Cancer.Site,Stage.At.Diagnosis,Geography,Year,Age.Group,Gender,Race,Average.Annual.Population,Average.Annual.Observations,Age.Adj..Rate.per.100.000,X95..CI,counties
All,Invasive,Snohomish,2016-2020,All,Female,All,400972,624,132.2,"[127.6, 137.1]",Snohomish
All,Invasive,Snohomish,2016-2020,All,All,All,800919,1288,150.5,"[146.7, 154.3]",Snohomish
All,Invasive,Spokane,2016-2020,All,Male,All,258269,509,176.1,"[169.2, 183.3]",Spokane
All,Invasive,Spokane,2016-2020,All,Female,All,263176,485,137.2,"[131.7, 142.9]",Spokane
All,Invasive,Spokane,2016-2020,All,All,All,521445,994,153.8,"[149.5, 158.3]",Spokane
All,Invasive,Stevens,2016-2020,All,Male,All,22895,64,177.4,"[157.5, 200.2]",Stevens
All,Invasive,Stevens,2016-2020,All,Female,All,22748,46,126.3,"[109.7, 145.9]",Stevens
All,Invasive,Stevens,2016-2020,All,All,All,45643,111,149.9,"[137.1, 164.1]",Stevens
All,Invasive,Thurston,2016-2020,All,Male,All,139164,267,167.8,"[158.7, 177.4]",Thurston
All,Invasive,Thurston,2016-2020,All,Female,All,146165,260,130.1,"[122.9, 137.6]",Thurston
All,Invasive,Thurston,2016-2020,All,All,All,285329,526,145.9,"[140.3, 151.8]",Thurston
All,Invasive,Wahkiakum,2016-2020,All,Male,All,2139,8,188.2,"[131.5, 292.8]",Wahkiakum
All,Invasive,Wahkiakum,2016-2020,All,Female,All,2160,4,98.5,"[59.1, 180.2]",Wahkiakum
All,Invasive,Wahkiakum,2016-2020,All,All,All,4299,12,141.9,"[106.9, 197.1]",Wahkiakum
All,Invasive,Walla Walla,2016-2020,All,Male,All,31463,64,163.1,"[145.4, 182.7]",Walla Walla
All,Invasive,Walla Walla,2016-2020,All,Female,All,30305,55,118.8,"[104.3, 135.3]",Walla Walla
All,Invasive,Walla Walla,2016-2020,All,All,All,61767,119,137.5,"[126.3, 149.7]",Walla Walla
All,Invasive,Whatcom,2016-2020,All,Male,All,108211,224,178.4,"[167.9, 189.6]",Whatcom
All,Invasive,Whatcom,2016-2020,All,Female,All,111712,187,124.3,"[116.2, 132.9]",Whatcom
All,Invasive,Whatcom,2016-2020,All,All,All,219923,411,147.7,"[141.2, 154.4]",Whatcom
All,Invasive,Whitman,2016-2020,All,Male,All,23667,26,138.1,"[115.2, 164.9]",Whitman
All,Invasive,Whitman,2016-2020,All,Female,All,23662,24,106.7,"[88.1, 129.1]",Whitman
All,Invasive,Whitman,2016-2020,All,All,All,47329,50,120,"[105.4, 136.4]",Whitman
All,Invasive,Yakima,2016-2020,All,Male,All,126641,223,179.3,"[168.7, 190.4]",Yakima
All,Invasive,Yakima,2016-2020,All,Female,All,127169,202,137.8,"[129.3, 146.8]",Yakima
All,Invasive,Yakima,2016-2020,All,All,All,253810,425,155.6,"[149.0, 162.5]",Yakima
"Anus, Anal Canal and Anorectum",All,Adams,2016-2020,All,Male,All,10282,NR,NR,NR,Adams
"Anus, Anal Canal and Anorectum",All,Adams,2016-2020,All,Female,All,9889,NR,NR,NR,Adams
"Anus, Anal Canal and Anorectum",All,Adams,2016-2020,All,All,All,20172,NR,NR,NR,Adams
"Anus, Anal Canal and Anorectum",All,Asotin,2016-2020,All,Male,All,10756,NR,NR,NR,Asotin
"Anus, Anal Canal and Anorectum",All,Asotin,2016-2020,All,Female,All,11370,NR,NR,NR,Asotin
"Anus, Anal Canal and Anorectum",All,Asotin,2016-2020,All,All,All,22126,NR,NR,NR,Asotin
"Anus, Anal Canal and Anorectum",All,Benton,2016-2020,All,Male,All,98978,NR,NR,NR,Benton
"Anus, Anal Canal and Anorectum",All,Benton,2016-2020,All,Female,All,99958,NR,NR,NR,Benton
"Anus, Anal Canal and Anorectum",All,Benton,2016-2020,All,All,All,198936,NR,NR,NR,Benton
"Anus, Anal Canal and Anorectum",All,Chelan,2016-2020,All,Male,All,38595,NR,NR,NR,Chelan
"Anus, Anal Canal and Anorectum",All,Chelan,2016-2020,All,Female,All,38682,NR,NR,NR,Chelan
"Anus, Anal Canal and Anorectum",All,Chelan,2016-2020,All,All,All,77278,NR,NR,NR,Chelan
"Anus, Anal Canal and Anorectum",All,Clallam,2016-2020,All,Male,All,37283,NR,NR,NR,Clallam
"Anus, Anal Canal and Anorectum",All,Clallam,2016-2020,All,Female,All,38345,NR,NR,NR,Clallam
"Anus, Anal Canal and Anorectum",All,Clallam,2016-2020,All,All,All,75628,NR,NR,NR,Clallam
"Anus, Anal Canal and Anorectum",All,Clark,2016-2020,All,Male,All,237977,NR,NR,NR,Clark
"Anus, Anal Canal and Anorectum",All,Clark,2016-2020,All,Female,All,243884,2,0.7,"[0.4, 1.4]",Clark
"Anus, Anal Canal and Anorectum",All,Clark,2016-2020,All,All,All,481861,3,0.5,"[0.3, 0.9]",Clark
"Anus, Anal Canal and Anorectum",All,Columbia,2016-2020,All,Male,All,1973,NR,NR,NR,Columbia
"Anus, Anal Canal and Anorectum",All,Columbia,2016-2020,All,Female,All,1998,NR,NR,NR,Columbia
"Anus, Anal Canal and Anorectum",All,Columbia,2016-2020,All,All,All,3971,NR,NR,NR,Columbia
"Anus, Anal Canal and Anorectum",All,Cowlitz,2016-2020,All,Male,All,53421,NR,NR,NR,Cowlitz
"Anus, Anal Canal and Anorectum",All,Cowlitz,2016-2020,All,Female,All,54522,NR,NR,NR,Cowlitz
"Anus, Anal Canal and Anorectum",All,Cowlitz,2016-2020,All,All,All,107943,NR,NR,NR,Cowlitz
"Anus, Anal Canal and Anorectum",All,Douglas,2016-2020,All,Male,All,20946,NR,NR,NR,Douglas
"Anus, Anal Canal and Anorectum",All,Douglas,2016-2020,All,Female,All,20701,NR,NR,NR,Douglas
"Anus, Anal Canal and Anorectum",All,Douglas,2016-2020,All,All,All,41647,NR,NR,NR,Douglas
"Anus, Anal Canal and Anorectum",All,Ferry,2016-2020,All,Male,All,3694,NR,NR,NR,Ferry
"Anus, Anal Canal and Anorectum",All,Ferry,2016-2020,All,Female,All,3550,NR,NR,NR,Ferry
"Anus, Anal Canal and Anorectum",All,Ferry,2016-2020,All,All,All,7245,NR,NR,NR,Ferry
"Anus, Anal Canal and Anorectum",All,Franklin,2016-2020,All,Male,All,47829,NR,NR,NR,Franklin
"Anus, Anal Canal and Anorectum",All,Franklin,2016-2020,All,Female,All,44703,NR,NR,NR,Franklin
"Anus, Anal Canal and Anorectum",All,Franklin,2016-2020,All,All,All,92532,NR,NR,NR,Franklin
"Anus, Anal Canal and Anorectum",All,Garfield,2016-2020,All,Male,All,1149,NR,NR,NR,Garfield
"Anus, Anal Canal and Anorectum",All,Garfield,2016-2020,All,Female,All,1124,NR,NR,NR,Garfield
"Anus, Anal Canal and Anorectum",All,Garfield,2016-2020,All,All,All,2272,NR,NR,NR,Garfield
"Anus, Anal Canal and Anorectum",All,Grant,2016-2020,All,Male,All,49209,NR,NR,NR,Grant
"Anus, Anal Canal and Anorectum",All,Grant,2016-2020,All,Female,All,46950,NR,NR,NR,Grant
"Anus, Anal Canal and Anorectum",All,Grant,2016-2020,All,All,All,96159,NR,NR,NR,Grant
"Anus, Anal Canal and Anorectum",All,Grays Harbor,2016-2020,All,Male,All,38179,NR,NR,NR,Grays Harbor
"Anus, Anal Canal and Anorectum",All,Grays Harbor,2016-2020,All,Female,All,36373,NR,NR,NR,Grays Harbor
"Anus, Anal Canal and Anorectum",All,Grays Harbor,2016-2020,All,All,All,74552,NR,NR,NR,Grays Harbor
"Anus, Anal Canal and Anorectum",All,Island,2016-2020,All,Male,All,42072,NR,NR,NR,Island
"Anus, Anal Canal and Anorectum",All,Island,2016-2020,All,Female,All,42860,NR,NR,NR,Island
"Anus, Anal Canal and Anorectum",All,Island,2016-2020,All,All,All,84932,NR,NR,NR,Island
"Anus, Anal Canal and Anorectum",All,Jefferson,2016-2020,All,Male,All,15920,NR,NR,NR,Jefferson
"Anus, Anal Canal and Anorectum",All,Jefferson,2016-2020,All,Female,All,16416,NR,NR,NR,Jefferson
"Anus, Anal Canal and Anorectum",All,Jefferson,2016-2020,All,All,All,32336,NR,NR,NR,Jefferson
"Anus, Anal Canal and Anorectum",All,King,2016-2020,All,Male,All,1096115,NR,NR,NR,King
"Anus, Anal Canal and Anorectum",All,King,2016-2020,All,Female,All,1094637,4,0.3,"[0.2, 0.5]",King
"Anus, Anal Canal and Anorectum",All,King,2016-2020,All,All,All,2190752,6,0.2,"[0.2, 0.4]",King
"Anus, Anal Canal and Anorectum",All,Kitsap,2016-2020,All,Male,All,136205,NR,NR,NR,Kitsap
"Anus, Anal Canal and Anorectum",All,Kitsap,2016-2020,All,Female,All,132989,NR,NR,NR,Kitsap
"Anus, Anal Canal and Anorectum",All,Kitsap,2016-2020,All,All,All,269194,NR,NR,NR,Kitsap
"Anus, Anal Canal and Anorectum",All,Kittitas,2016-2020,All,Male,All,22480,NR,NR,NR,Kittitas
"Anus, Anal Canal and Anorectum",All,Kittitas,2016-2020,All,Female,All,22165,NR,NR,NR,Kittitas
"Anus, Anal Canal and Anorectum",All,Kittitas,2016-2020,All,All,All,44645,NR,NR,NR,Kittitas
"Anus, Anal Canal and Anorectum",All,Klickitat,2016-2020,All,Male,All,11295,NR,NR,NR,Klickitat
"Anus, Anal Canal and Anorectum",All,Klickitat,2016-2020,All,Female,All,10818,NR,NR,NR,Klickitat
"Anus, Anal Canal and Anorectum",All,Klickitat,2016-2020,All,All,All,22113,NR,NR,NR,Klickitat
"Anus, Anal Canal and Anorectum",All,Lewis,2016-2020,All,Male,All,40168,NR,NR,NR,Lewis
"Anus, Anal Canal and Anorectum",All,Lewis,2016-2020,All,Female,All,40148,NR,NR,NR,Lewis
"Anus, Anal Canal and Anorectum",All,Lewis,2016-2020,All,All,All,80317,NR,NR,NR,Lewis
"Anus, Anal Canal and Anorectum",All,Lincoln,2016-2020,All,Male,All,5414,NR,NR,NR,Lincoln
"Anus, Anal Canal and Anorectum",All,Lincoln,2016-2020,All,Female,All,5351,NR,NR,NR,Lincoln
"Anus, Anal Canal and Anorectum",All,Lincoln,2016-2020,All,All,All,10765,NR,NR,NR,Lincoln
"Anus, Anal Canal and Anorectum",All,Mason,2016-2020,All,Male,All,33239,NR,NR,NR,Mason
"Anus, Anal Canal and Anorectum",All,Mason,2016-2020,All,Female,All,31257,NR,NR,NR,Mason
"Anus, Anal Canal and Anorectum",All,Mason,2016-2020,All,All,All,64496,NR,NR,NR,Mason
"Anus, Anal Canal and Anorectum",All,Okanogan,2016-2020,All,Male,All,21467,NR,NR,NR,Okanogan
"Anus, Anal Canal and Anorectum",All,Okanogan,2016-2020,All,Female,All,20466,NR,NR,NR,Okanogan
"Anus, Anal Canal and Anorectum",All,Okanogan,2016-2020,All,All,All,41932,NR,NR,NR,Okanogan
"Anus, Anal Canal and Anorectum",All,Pacific,2016-2020,All,Male,All,11357,NR,NR,NR,Pacific
"Anus, Anal Canal and Anorectum",All,Pacific,2016-2020,All,Female,All,11398,NR,NR,NR,Pacific
"Anus, Anal Canal and Anorectum",All,Pacific,2016-2020,All,All,All,22755,NR,NR,NR,Pacific
"Anus, Anal Canal and Anorectum",All,Pend Oreille,2016-2020,All,Male,All,6738,NR,NR,NR,Pend Oreille
"Anus, Anal Canal and Anorectum",All,Pend Oreille,2016-2020,All,Female,All,6542,NR,NR,NR,Pend Oreille
"Anus, Anal Canal and Anorectum",All,Pend Oreille,2016-2020,All,All,All,13280,NR,NR,NR,Pend Oreille
"Anus, Anal Canal and Anorectum",All,Pierce,2016-2020,All,Male,All,442332,NR,NR,NR,Pierce
"Anus, Anal Canal and Anorectum",All,Pierce,2016-2020,All,Female,All,449353,2,0.4,"[0.2, 0.8]",Pierce
"Anus, Anal Canal and Anorectum",All,Pierce,2016-2020,All,All,All,891685,3,0.3,"[0.2, 0.5]",Pierce
"Anus, Anal Canal and Anorectum",All,San Juan,2016-2020,All,Male,All,8396,NR,NR,NR,San Juan
"Anus, Anal Canal and Anorectum",All,San Juan,2016-2020,All,Female,All,8842,NR,NR,NR,San Juan
"Anus, Anal Canal and Anorectum",All,San Juan,2016-2020,All,All,All,17238,NR,NR,NR,San Juan
"Anus, Anal Canal and Anorectum",All,Skagit,2016-2020,All,Male,All,62062,NR,NR,NR,Skagit
"Anus, Anal Canal and Anorectum",All,Skagit,2016-2020,All,Female,All,63868,NR,NR,NR,Skagit
"Anus, Anal Canal and Anorectum",All,Skagit,2016-2020,All,All,All,125929,NR,NR,NR,Skagit
"Anus, Anal Canal and Anorectum",All,Skamania,2016-2020,All,Male,All,5817,NR,NR,NR,Skamania
"Anus, Anal Canal and Anorectum",All,Skamania,2016-2020,All,Female,All,5607,NR,NR,NR,Skamania
"Anus, Anal Canal and Anorectum",All,Skamania,2016-2020,All,All,All,11424,NR,NR,NR,Skamania
"Anus, Anal Canal and Anorectum",All,Snohomish,2016-2020,All,Male,All,399947,NR,NR,NR,Snohomish
"Anus, Anal Canal and Anorectum",All,Snohomish,2016-2020,All,Female,All,400972,2,0.4,"[0.2, 0.8]",Snohomish
"Anus, Anal Canal and Anorectum",All,Snohomish,2016-2020,All,All,All,800919,3,0.3,"[0.2, 0.5]",Snohomish
"Anus, Anal Canal and Anorectum",All,Spokane,2016-2020,All,Male,All,258269,NR,NR,NR,Spokane
"Anus, Anal Canal and Anorectum",All,Spokane,2016-2020,All,Female,All,263176,NR,NR,NR,Spokane
"Anus, Anal Canal and Anorectum",All,Spokane,2016-2020,All,All,All,521445,3,0.4,"[0.2, 0.7]",Spokane
"Anus, Anal Canal and Anorectum",All,Stevens,2016-2020,All,Male,All,22895,NR,NR,NR,Stevens
"Anus, Anal Canal and Anorectum",All,Stevens,2016-2020,All,Female,All,22748,NR,NR,NR,Stevens
"Anus, Anal Canal and Anorectum",All,Stevens,2016-2020,All,All,All,45643,NR,NR,NR,Stevens
"Anus, Anal Canal and Anorectum",All,Thurston,2016-2020,All,Male,All,139164,NR,NR,NR,Thurston
"Anus, Anal Canal and Anorectum",All,Thurston,2016-2020,All,Female,All,146165,NR,NR,NR,Thurston
"Anus, Anal Canal and Anorectum",All,Thurston,2016-2020,All,All,All,285329,NR,NR,NR,Thurston
"Anus, Anal Canal and Anorectum",All,Wahkiakum,2016-2020,All,Male,All,2139,NR,NR,NR,Wahkiakum
"Anus, Anal Canal and Anorectum",All,Wahkiakum,2016-2020,All,Female,All,2160,NR,NR,NR,Wahkiakum
"Anus, Anal Canal and Anorectum",All,Wahkiakum,2016-2020,All,All,All,4299,NR,NR,NR,Wahkiakum
"Anus, Anal Canal and Anorectum",All,Walla Walla,2016-2020,All,Male,All,31463,NR,NR,NR,Walla Walla
"Anus, Anal Canal and Anorectum",All,Walla Walla,2016-2020,All,Female,All,30305,NR,NR,NR,Walla Walla
"Anus, Anal Canal and Anorectum",All,Walla Walla,2016-2020,All,All,All,61767,NR,NR,NR,Walla Walla
"Anus, Anal Canal and Anorectum",All,Whatcom,2016-2020,All,Male,All,108211,NR,NR,NR,Whatcom
"Anus, Anal Canal and Anorectum",All,Whatcom,2016-2020,All,Female,All,111712,NR,NR,NR,Whatcom
"Anus, Anal Canal and Anorectum",All,Whatcom,2016-2020,All,All,All,219923,NR,NR,NR,Whatcom
"Anus, Anal Canal and Anorectum",All,Whitman,2016-2020,All,Male,All,23667,NR,NR,NR,Whitman
"Anus, Anal Canal and Anorectum",All,Whitman,2016-2020,All,Female,All,23662,NR,NR,NR,Whitman
"Anus, Anal Canal and Anorectum",All,Whitman,2016-2020,All,All,All,47329,NR,NR,NR,Whitman
"Anus, Anal Canal and Anorectum",All,Yakima,2016-2020,All,Male,All,126641,NR,NR,NR,Yakima
"Anus, Anal Canal and Anorectum",All,Yakima,2016-2020,All,Female,All,127169,NR,NR,NR,Yakima
"Anus, Anal Canal and Anorectum",All,Yakima,2016-2020,All,All,All,253810,NR,NR,NR,Yakima
Bladder,All,Adams,2016-2020,All,All,All,20172,NR,NR,NR,Adams
Bladder,All,Asotin,2016-2020,All,All,All,22126,NR,NR,NR,Asotin
Bladder,All,Benton,2016-2020,All,All,All,198936,9,4.2,"[3.1, 5.7]",Benton
Bladder,All,Chelan,2016-2020,All,All,All,77278,5,4.2,"[2.6, 6.6]",Chelan
Bladder,All,Clallam,2016-2020,All,All,All,75628,6,3.6,"[2.4, 5.7]",Clallam
Bladder,All,Clark,2016-2020,All,All,All,481861,27,5.0,"[4.2, 6.0]",Clark
Bladder,All,Columbia,2016-2020,All,All,All,3971,NR,NR,NR,Columbia
Bladder,All,Cowlitz,2016-2020,All,All,All,107943,9,6.0,"[4.3, 8.2]",Cowlitz
Bladder,All,Douglas,2016-2020,All,All,All,41647,NR,NR,NR,Douglas
Bladder,All,Ferry,2016-2020,All,All,All,7245,NR,NR,NR,Ferry
Bladder,All,Franklin,2016-2020,All,All,All,92532,3,4.2,"[2.2, 7.3]",Franklin
Bladder,All,Garfield,2016-2020,All,All,All,2272,NR,NR,NR,Garfield
Bladder,All,Grant,2016-2020,All,All,All,96159,4,3.9,"[2.3, 6.2]",Grant
Bladder,All,Grays Harbor,2016-2020,All,All,All,74552,6,5.4,"[3.6, 8.1]",Grays Harbor
Bladder,All,Island,2016-2020,All,All,All,84932,5,4.0,"[2.6, 6.3]",Island
Bladder,All,Jefferson,2016-2020,All,All,All,32336,2,2.8,"[1.4, 8.1]",Jefferson
Bladder,All,King,2016-2020,All,All,All,2190752,88,4.0,"[3.6, 4.4]",King
Bladder,All,Kitsap,2016-2020,All,All,All,269194,11,3.3,"[2.5, 4.4]",Kitsap
Bladder,All,Kittitas,2016-2020,All,All,All,44645,3,6.2,"[3.4, 10.9]",Kittitas
Bladder,All,Klickitat,2016-2020,All,All,All,22113,NR,NR,NR,Klickitat
Bladder,All,Lewis,2016-2020,All,All,All,80317,6,5.0,"[3.4, 7.5]",Lewis
Bladder,All,Lincoln,2016-2020,All,All,All,10765,NR,NR,NR,Lincoln
Bladder,All,Mason,2016-2020,All,All,All,64496,4,4.3,"[2.6, 7.0]",Mason
Bladder,All,Okanogan,2016-2020,All,All,All,41932,3,5.2,"[3.0, 9.2]",Okanogan
Bladder,All,Pacific,2016-2020,All,All,All,22755,2,4.9,"[2.5, 11.4]",Pacific
Bladder,All,Pend Oreille,2016-2020,All,All,All,13280,NR,NR,NR,Pend Oreille
Bladder,All,Pierce,2016-2020,All,All,All,891685,45,4.9,"[4.3, 5.6]",Pierce
