Cancer.Site,Stage.At.Diagnosis,Geography,Year,Age.Group,Gender,Race,Average.Annual.Population,Average.Annual.Observations,Age.Adj..Rate.per.100.000,X95..CI,counties
All,All,Kitsap,2016-2020,All,All,All,269194,1845,526.4,"[515.3, 537.7]",Kitsap
All,All,Kittitas,2016-2020,All,Male,All,22480,117,439.3,"[403.0, 478.7]",Kittitas
All,All,Kittitas,2016-2020,All,Female,All,22165,103,387.4,"[353.1, 424.9]",Kittitas
All,All,Kittitas,2016-2020,All,All,All,44645,221,410.1,"[385.2, 436.5]",Kittitas
All,All,Klickitat,2016-2020,All,Male,All,11295,84,461.7,"[415.8, 513.2]",Klickitat
All,All,Klickitat,2016-2020,All,Female,All,10818,71,426.8,"[379.9, 479.9]",Klickitat
All,All,Klickitat,2016-2020,All,All,All,22113,155,443.5,"[410.5, 479.3]",Klickitat
All,All,Lewis,2016-2020,All,Male,All,40168,244,431.2,"[406.4, 457.6]",Lewis
All,All,Lewis,2016-2020,All,Female,All,40148,251,433.3,"[408.1, 460.0]",Lewis
All,All,Lewis,2016-2020,All,All,All,80317,495,430,"[412.4, 448.4]",Lewis
All,All,Lincoln,2016-2020,All,Male,All,5414,33,338.3,"[284.5, 404.6]",Lincoln
All,All,Lincoln,2016-2020,All,Female,All,5351,35,398.6,"[335.0, 476.0]",Lincoln
All,All,Lincoln,2016-2020,All,All,All,10765,67,367.2,"[325.3, 415.5]",Lincoln
All,All,Mason,2016-2020,All,Male,All,33239,299,583.9,"[553.0, 616.4]",Mason
All,All,Mason,2016-2020,All,Female,All,31257,260,524.5,"[494.1, 556.9]",Mason
All,All,Mason,2016-2020,All,All,All,64496,559,550.8,"[529.3, 573.2]",Mason
All,All,Okanogan,2016-2020,All,Male,All,21467,169,501.2,"[465.9, 539.3]",Okanogan
All,All,Okanogan,2016-2020,All,Female,All,20466,149,495,"[457.3, 535.9]",Okanogan
All,All,Okanogan,2016-2020,All,All,All,41932,319,497.6,"[471.7, 524.8]",Okanogan
All,All,Pacific,2016-2020,All,Male,All,11357,99,450.2,"[408.1, 497.7]",Pacific
All,All,Pacific,2016-2020,All,Female,All,11398,90,418.7,"[374.6, 469.7]",Pacific
All,All,Pacific,2016-2020,All,All,All,22755,189,432.1,"[401.7, 465.4]",Pacific
All,All,Pend Oreille,2016-2020,All,Male,All,6738,41,347.7,"[296.0, 409.8]",Pend Oreille
All,All,Pend Oreille,2016-2020,All,Female,All,6542,40,369.8,"[314.0, 437.2]",Pend Oreille
All,All,Pend Oreille,2016-2020,All,All,All,13280,82,358,"[319.7, 401.5]",Pend Oreille
All,All,Pierce,2016-2020,All,Male,All,442332,2423,527.5,"[517.8, 537.3]",Pierce
All,All,Pierce,2016-2020,All,Female,All,449353,2596,498.1,"[489.4, 507.0]",Pierce
All,All,Pierce,2016-2020,All,All,All,891685,5021,506,"[499.6, 512.5]",Pierce
All,All,San Juan,2016-2020,All,Male,All,8396,95,521.2,"[469.9, 581.9]",San Juan
All,All,San Juan,2016-2020,All,Female,All,8842,85,493,"[440.6, 554.7]",San Juan
All,All,San Juan,2016-2020,All,All,All,17238,180,509.2,"[472.1, 551.0]",San Juan
All,All,Skagit,2016-2020,All,Male,All,62062,498,562.8,"[540.2, 586.4]",Skagit
All,All,Skagit,2016-2020,All,Female,All,63868,486,532.5,"[510.1, 555.8]",Skagit
All,All,Skagit,2016-2020,All,All,All,125929,984,542.4,"[526.6, 558.6]",Skagit
All,All,Skamania,2016-2020,All,Male,All,5817,31,359.7,"[301.2, 431.0]",Skamania
All,All,Skamania,2016-2020,All,Female,All,5607,36,462.6,"[393.2, 545.6]",Skamania
All,All,Skamania,2016-2020,All,All,All,11424,68,411.8,"[365.9, 464.1]",Skamania
All,All,Snohomish,2016-2020,All,Male,All,399947,2292,554.8,"[544.2, 565.5]",Snohomish
All,All,Snohomish,2016-2020,All,Female,All,400972,2509,535.2,"[525.6, 544.8]",Snohomish
All,All,Snohomish,2016-2020,All,All,All,800919,4802,537.3,"[530.4, 544.3]",Snohomish
All,All,Spokane,2016-2020,All,Male,All,258269,1080,358.7,"[349.0, 368.8]",Spokane
All,All,Spokane,2016-2020,All,Female,All,263176,1386,420.3,"[410.1, 430.8]",Spokane
All,All,Spokane,2016-2020,All,All,All,521445,2467,388.1,"[381.1, 395.2]",Spokane
All,All,Stevens,2016-2020,All,Male,All,22895,114,311.1,"[283.8, 341.3]",Stevens
All,All,Stevens,2016-2020,All,Female,All,22748,130,375.8,"[344.8, 409.9]",Stevens
All,All,Stevens,2016-2020,All,All,All,45643,244,342.1,"[321.4, 364.2]",Stevens
All,All,Thurston,2016-2020,All,Male,All,139164,891,537.1,"[521.0, 553.6]",Thurston
All,All,Thurston,2016-2020,All,Female,All,146165,958,505.1,"[490.4, 520.2]",Thurston
All,All,Thurston,2016-2020,All,All,All,285329,1851,515.2,"[504.5, 526.2]",Thurston
All,All,Wahkiakum,2016-2020,All,Male,All,2139,16,375.7,"[290.6, 504.9]",Wahkiakum
All,All,Wahkiakum,2016-2020,All,Female,All,2160,15,420.8,"[315.8, 564.7]",Wahkiakum
All,All,Wahkiakum,2016-2020,All,All,All,4299,31,392.9,"[325.0, 480.0]",Wahkiakum
All,All,Walla Walla,2016-2020,All,Male,All,31463,148,372.2,"[345.3, 401.1]",Walla Walla
All,All,Walla Walla,2016-2020,All,Female,All,30305,140,353.5,"[326.1, 383.0]",Walla Walla
All,All,Walla Walla,2016-2020,All,All,All,61767,289,357.1,"[338.2, 377.1]",Walla Walla
All,All,Whatcom,2016-2020,All,Male,All,108211,729,552.5,"[534.2, 571.4]",Whatcom
All,All,Whatcom,2016-2020,All,Female,All,111712,718,509.3,"[492.0, 527.1]",Whatcom
All,All,Whatcom,2016-2020,All,All,All,219923,1447,524.9,"[512.5, 537.7]",Whatcom
All,All,Whitman,2016-2020,All,Male,All,23667,45,223.5,"[194.4, 256.5]",Whitman
All,All,Whitman,2016-2020,All,Female,All,23662,62,299.7,"[266.1, 337.1]",Whitman
All,All,Whitman,2016-2020,All,All,All,47329,107,260.5,"[238.2, 284.7]",Whitman
All,All,Yakima,2016-2020,All,Male,All,126641,553,424.3,"[408.3, 440.8]",Yakima
All,All,Yakima,2016-2020,All,Female,All,127169,574,412.7,"[397.4, 428.5]",Yakima
All,All,Yakima,2016-2020,All,All,All,253810,1128,415.1,"[404.1, 426.3]",Yakima
All,In Situ,Adams,2016-2020,All,Male,All,10282,NR,NR,NR,Adams
All,In Situ,Adams,2016-2020,All,Female,All,9889,3,35.6,"[20.2, 59.0]",Adams
All,In Situ,Adams,2016-2020,All,All,All,20172,4,25.1,"[15.6, 38.7]",Adams
All,In Situ,Asotin,2016-2020,All,Male,All,10756,5,26.9,"[17.0, 43.4]",Asotin
All,In Situ,Asotin,2016-2020,All,Female,All,11370,6,36.1,"[23.0, 55.8]",Asotin
All,In Situ,Asotin,2016-2020,All,All,All,22126,11,31.5,"[23.0, 43.2]",Asotin
All,In Situ,Benton,2016-2020,All,Male,All,98978,39,36.4,"[31.4, 42.2]",Benton
All,In Situ,Benton,2016-2020,All,Female,All,99958,47,41.6,"[36.3, 47.5]",Benton
All,In Situ,Benton,2016-2020,All,All,All,198936,86,38.6,"[34.9, 42.5]",Benton
All,In Situ,Chelan,2016-2020,All,Male,All,38595,35,67.0,"[57.2, 78.4]",Chelan
All,In Situ,Chelan,2016-2020,All,Female,All,38682,30,57.3,"[48.0, 68.1]",Chelan
All,In Situ,Chelan,2016-2020,All,All,All,77278,66,60.9,"[54.2, 68.3]",Chelan
All,In Situ,Clallam,2016-2020,All,Male,All,37283,65,87.4,"[77.6, 98.8]",Clallam
All,In Situ,Clallam,2016-2020,All,Female,All,38345,48,68.5,"[58.6, 80.4]",Clallam
All,In Situ,Clallam,2016-2020,All,All,All,75628,113,76.5,"[69.5, 84.2]",Clallam
All,In Situ,Clark,2016-2020,All,Male,All,237977,107,42.3,"[38.7, 46.2]",Clark
All,In Situ,Clark,2016-2020,All,Female,All,243884,141,47.7,"[44.2, 51.5]",Clark
All,In Situ,Clark,2016-2020,All,All,All,481861,249,44.4,"[41.9, 47.0]",Clark
All,In Situ,Columbia,2016-2020,All,Male,All,1973,NR,NR,NR,Columbia
All,In Situ,Columbia,2016-2020,All,Female,All,1998,NR,NR,NR,Columbia
All,In Situ,Columbia,2016-2020,All,All,All,3971,2,38.5,"[16.7, 83.5]",Columbia
All,In Situ,Cowlitz,2016-2020,All,Male,All,53421,26,36.8,"[30.6, 44.2]",Cowlitz
All,In Situ,Cowlitz,2016-2020,All,Female,All,54522,30,41.6,"[34.9, 49.5]",Cowlitz
All,In Situ,Cowlitz,2016-2020,All,All,All,107943,56,38.7,"[34.1, 43.8]",Cowlitz
All,In Situ,Douglas,2016-2020,All,Male,All,20946,16,63.9,"[50.4, 80.5]",Douglas
All,In Situ,Douglas,2016-2020,All,Female,All,20701,15,58.3,"[45.3, 74.4]",Douglas
All,In Situ,Douglas,2016-2020,All,All,All,41647,31,60.2,"[50.9, 71.1]",Douglas
All,In Situ,Ferry,2016-2020,All,Male,All,3694,NR,NR,NR,Ferry
All,In Situ,Ferry,2016-2020,All,Female,All,3550,NR,NR,NR,Ferry
All,In Situ,Ferry,2016-2020,All,All,All,7245,3,24.3,"[12.5, 48.4]",Ferry
All,In Situ,Franklin,2016-2020,All,Male,All,47829,9,26.8,"[19.4, 36.6]",Franklin
All,In Situ,Franklin,2016-2020,All,Female,All,44703,10,24.3,"[17.8, 32.7]",Franklin
All,In Situ,Franklin,2016-2020,All,All,All,92532,19,25.2,"[20.3, 31.1]",Franklin
All,In Situ,Garfield,2016-2020,All,Male,All,1149,NR,NR,NR,Garfield
All,In Situ,Garfield,2016-2020,All,Female,All,1124,NR,NR,NR,Garfield
All,In Situ,Garfield,2016-2020,All,All,All,2272,NR,NR,NR,Garfield
All,In Situ,Grant,2016-2020,All,Male,All,49209,20,38.2,"[30.9, 46.9]",Grant
All,In Situ,Grant,2016-2020,All,Female,All,46950,17,33.5,"[26.7, 41.7]",Grant
All,In Situ,Grant,2016-2020,All,All,All,96159,37,35.4,"[30.4, 41.1]",Grant
All,In Situ,Grays Harbor,2016-2020,All,Male,All,38179,24,42.0,"[34.6, 51.1]",Grays Harbor
All,In Situ,Grays Harbor,2016-2020,All,Female,All,36373,27,49.8,"[41.0, 60.3]",Grays Harbor
All,In Situ,Grays Harbor,2016-2020,All,All,All,74552,51,45.4,"[39.7, 51.9]",Grays Harbor
All,In Situ,Island,2016-2020,All,Male,All,42072,56,84.9,"[74.7, 96.6]",Island
All,In Situ,Island,2016-2020,All,Female,All,42860,50,74.3,"[64.3, 86.0]",Island
All,In Situ,Island,2016-2020,All,All,All,84932,106,78.7,"[71.5, 86.6]",Island
All,In Situ,Jefferson,2016-2020,All,Male,All,15920,36,94.3,"[79.5, 113.9]",Jefferson
All,In Situ,Jefferson,2016-2020,All,Female,All,16416,31,106.6,"[86.4, 132.9]",Jefferson
All,In Situ,Jefferson,2016-2020,All,All,All,32336,68,100.3,"[87.6, 115.7]",Jefferson
All,In Situ,King,2016-2020,All,Male,All,1096115,742,69.7,"[67.4, 72.1]",King
All,In Situ,King,2016-2020,All,Female,All,1094637,1019,83.4,"[81.1, 85.7]",King
All,In Situ,King,2016-2020,All,All,All,2190752,1761,75.3,"[73.7, 76.9]",King
All,In Situ,Kitsap,2016-2020,All,Male,All,136205,110,65.4,"[59.9, 71.4]",Kitsap
All,In Situ,Kitsap,2016-2020,All,Female,All,132989,126,71.9,"[66.1, 78.2]",Kitsap
All,In Situ,Kitsap,2016-2020,All,All,All,269194,236,67.8,"[63.9, 72.0]",Kitsap
All,In Situ,Kittitas,2016-2020,All,Male,All,22480,15,57.1,"[44.4, 73.1]",Kittitas
All,In Situ,Kittitas,2016-2020,All,Female,All,22165,12,48.0,"[35.9, 63.6]",Kittitas
All,In Situ,Kittitas,2016-2020,All,All,All,44645,27,51.6,"[42.8, 61.9]",Kittitas
All,In Situ,Klickitat,2016-2020,All,Male,All,11295,7,37.6,"[25.6, 56.0]",Klickitat
All,In Situ,Klickitat,2016-2020,All,Female,All,10818,8,46.2,"[31.8, 67.6]",Klickitat
All,In Situ,Klickitat,2016-2020,All,All,All,22113,15,41.7,"[32.1, 54.4]",Klickitat
All,In Situ,Lewis,2016-2020,All,Male,All,40168,19,33.3,"[26.7, 41.4]",Lewis
All,In Situ,Lewis,2016-2020,All,Female,All,40148,21,41.1,"[33.0, 51.0]",Lewis
All,In Situ,Lewis,2016-2020,All,All,All,80317,40,36.5,"[31.3, 42.5]",Lewis
All,In Situ,Lincoln,2016-2020,All,Male,All,5414,3,32.4,"[16.2, 65.0]",Lincoln
All,In Situ,Lincoln,2016-2020,All,Female,All,5351,6,67.3,"[41.5, 109.5]",Lincoln
All,In Situ,Lincoln,2016-2020,All,All,All,10765,8,48.8,"[33.4, 71.9]",Lincoln
All,In Situ,Mason,2016-2020,All,Male,All,33239,31,61.5,"[51.8, 73.0]",Mason
All,In Situ,Mason,2016-2020,All,Female,All,31257,33,72.5,"[60.9, 86.2]",Mason
All,In Situ,Mason,2016-2020,All,All,All,64496,65,65.7,"[58.3, 74.1]",Mason
All,In Situ,Okanogan,2016-2020,All,Male,All,21467,16,47.1,"[36.7, 60.6]",Okanogan
All,In Situ,Okanogan,2016-2020,All,Female,All,20466,16,55.4,"[42.9, 71.6]",Okanogan
All,In Situ,Okanogan,2016-2020,All,All,All,41932,31,51.0,"[42.8, 60.8]",Okanogan
All,In Situ,Pacific,2016-2020,All,Male,All,11357,6,30.4,"[19.8, 47.6]",Pacific
All,In Situ,Pacific,2016-2020,All,Female,All,11398,8,43.0,"[28.0, 67.0]",Pacific
All,In Situ,Pacific,2016-2020,All,All,All,22755,14,36.3,"[27.0, 49.1]",Pacific
All,In Situ,Pend Oreille,2016-2020,All,Male,All,6738,NR,NR,NR,Pend Oreille
All,In Situ,Pend Oreille,2016-2020,All,Female,All,6542,6,53.3,"[34.6, 85.2]",Pend Oreille
All,In Situ,Pend Oreille,2016-2020,All,All,All,13280,8,31.4,"[21.3, 47.6]",Pend Oreille
All,In Situ,Pierce,2016-2020,All,Male,All,442332,223,50.5,"[47.5, 53.7]",Pierce
All,In Situ,Pierce,2016-2020,All,Female,All,449353,328,63.4,"[60.3, 66.6]",Pierce
All,In Situ,Pierce,2016-2020,All,All,All,891685,551,56.1,"[54.0, 58.3]",Pierce
All,In Situ,San Juan,2016-2020,All,Male,All,8396,15,82.1,"[62.6, 112.8]",San Juan
All,In Situ,San Juan,2016-2020,All,Female,All,8842,13,78.7,"[58.6, 109.8]",San Juan
All,In Situ,San Juan,2016-2020,All,All,All,17238,28,80.8,"[66.3, 100.3]",San Juan
All,In Situ,Skagit,2016-2020,All,Male,All,62062,64,72.1,"[64.2, 81.0]",Skagit
All,In Situ,Skagit,2016-2020,All,Female,All,63868,73,79.3,"[70.8, 88.8]",Skagit
All,In Situ,Skagit,2016-2020,All,All,All,125929,136,75.1,"[69.3, 81.4]",Skagit
All,In Situ,Skamania,2016-2020,All,Male,All,5817,3,35.0,"[19.0, 66.5]",Skamania
All,In Situ,Skamania,2016-2020,All,Female,All,5607,3,37.5,"[19.6, 72.2]",Skamania
All,In Situ,Skamania,2016-2020,All,All,All,11424,6,36.5,"[24.0, 56.5]",Skamania
All,In Situ,Snohomish,2016-2020,All,Male,All,399947,264,65.8,"[62.2, 69.7]",Snohomish
All,In Situ,Snohomish,2016-2020,All,Female,All,400972,364,76.9,"[73.3, 80.6]",Snohomish
All,In Situ,Snohomish,2016-2020,All,All,All,800919,629,70.0,"[67.5, 72.5]",Snohomish
All,In Situ,Spokane,2016-2020,All,Male,All,258269,75,25.9,"[23.3, 28.7]",Spokane
All,In Situ,Spokane,2016-2020,All,Female,All,263176,163,50.1,"[46.6, 53.9]",Spokane
All,In Situ,Spokane,2016-2020,All,All,All,521445,238,37.9,"[35.7, 40.2]",Spokane
All,In Situ,Stevens,2016-2020,All,Male,All,22895,6,16.9,"[11.0, 26.1]",Stevens
All,In Situ,Stevens,2016-2020,All,Female,All,22748,9,23.6,"[16.6, 34.0]",Stevens
All,In Situ,Stevens,2016-2020,All,All,All,45643,15,20.0,"[15.4, 26.3]",Stevens
All,In Situ,Thurston,2016-2020,All,Male,All,139164,100,61.1,"[55.7, 66.9]",Thurston
All,In Situ,Thurston,2016-2020,All,Female,All,146165,116,61.7,"[56.6, 67.2]",Thurston
All,In Situ,Thurston,2016-2020,All,All,All,285329,216,60.5,"[56.8, 64.3]",Thurston
All,In Situ,Wahkiakum,2016-2020,All,Male,All,2139,NR,NR,NR,Wahkiakum
All,In Situ,Wahkiakum,2016-2020,All,Female,All,2160,NR,NR,NR,Wahkiakum
All,In Situ,Wahkiakum,2016-2020,All,All,All,4299,3,44.1,"[22.9, 90.0]",Wahkiakum
All,In Situ,Walla Walla,2016-2020,All,Male,All,31463,10,24.6,"[18.1, 33.2]",Walla Walla
All,In Situ,Walla Walla,2016-2020,All,Female,All,30305,13,33.5,"[25.4, 44.0]",Walla Walla
All,In Situ,Walla Walla,2016-2020,All,All,All,61767,23,28.6,"[23.4, 34.8]",Walla Walla
All,In Situ,Whatcom,2016-2020,All,Male,All,108211,82,61.6,"[55.6, 68.2]",Whatcom
All,In Situ,Whatcom,2016-2020,All,Female,All,111712,112,79.6,"[72.9, 87.0]",Whatcom
All,In Situ,Whatcom,2016-2020,All,All,All,219923,194,70.0,"[65.5, 74.7]",Whatcom
All,In Situ,Whitman,2016-2020,All,Male,All,23667,2,12.5,"[6.4, 23.0]",Whitman
All,In Situ,Whitman,2016-2020,All,Female,All,23662,6,29.8,"[19.8, 44.0]",Whitman
All,In Situ,Whitman,2016-2020,All,All,All,47329,8,21.1,"[15.1, 29.2]",Whitman
All,In Situ,Yakima,2016-2020,All,Male,All,126641,48,38.1,"[33.3, 43.4]",Yakima
All,In Situ,Yakima,2016-2020,All,Female,All,127169,52,37.6,"[33.1, 42.7]",Yakima
All,In Situ,Yakima,2016-2020,All,All,All,253810,100,37.0,"[33.8, 40.5]",Yakima
All,Invasive,Adams,2016-2020,All,Male,All,10282,34,385,"[327.8, 450.6]",Adams
All,Invasive,Adams,2016-2020,All,Female,All,9889,25,283.9,"[236.0, 339.1]",Adams
All,Invasive,Adams,2016-2020,All,All,All,20172,60,331.5,"[294.3, 372.4]",Adams
All,Invasive,Asotin,2016-2020,All,Male,All,10756,54,322.6,"[283.0, 368.0]",Asotin
All,Invasive,Asotin,2016-2020,All,Female,All,11370,49,281.6,"[244.7, 324.1]",Asotin
All,Invasive,Asotin,2016-2020,All,All,All,22126,103,300.2,"[273.0, 330.1]",Asotin
All,Invasive,Benton,2016-2020,All,Male,All,98978,410,375.3,"[358.8, 392.5]",Benton
All,Invasive,Benton,2016-2020,All,Female,All,99958,412,355.6,"[340.1, 371.8]",Benton
All,Invasive,Benton,2016-2020,All,All,All,198936,822,362.9,"[351.7, 374.5]",Benton
All,Invasive,Chelan,2016-2020,All,Male,All,38595,251,485.2,"[457.9, 514.1]",Chelan
All,Invasive,Chelan,2016-2020,All,Female,All,38682,226,422.1,"[396.6, 449.1]",Chelan
All,Invasive,Chelan,2016-2020,All,All,All,77278,478,450.9,"[432.3, 470.3]",Chelan
All,Invasive,Clallam,2016-2020,All,Male,All,37283,356,505.3,"[479.9, 532.2]",Clallam
All,Invasive,Clallam,2016-2020,All,Female,All,38345,314,451.6,"[425.7, 479.3]",Clallam
All,Invasive,Clallam,2016-2020,All,All,All,75628,671,473.4,"[455.3, 492.2]",Clallam
All,Invasive,Clark,2016-2020,All,Male,All,237977,983,371.8,"[361.1, 382.6]",Clark
All,Invasive,Clark,2016-2020,All,Female,All,243884,1085,365.5,"[355.6, 375.6]",Clark
All,Invasive,Clark,2016-2020,All,All,All,481861,2069,365.7,"[358.5, 373.0]",Clark
All,Invasive,Columbia,2016-2020,All,Male,All,1973,14,376.6,"[287.0, 501.4]",Columbia
All,Invasive,Columbia,2016-2020,All,Female,All,1998,12,382.5,"[279.5, 526.5]",Columbia
All,Invasive,Columbia,2016-2020,All,All,All,3971,26,376.6,"[307.6, 463.2]",Columbia
All,Invasive,Cowlitz,2016-2020,All,Male,All,53421,278,389.1,"[368.2, 411.2]",Cowlitz
All,Invasive,Cowlitz,2016-2020,All,Female,All,54522,282,379.2,"[358.7, 400.8]",Cowlitz
All,Invasive,Cowlitz,2016-2020,All,All,All,107943,559,381.9,"[367.3, 397.0]",Cowlitz
All,Invasive,Douglas,2016-2020,All,Male,All,20946,117,459.7,"[422.3, 500.1]",Douglas
All,Invasive,Douglas,2016-2020,All,Female,All,20701,119,450.8,"[414.2, 490.3]",Douglas
All,Invasive,Douglas,2016-2020,All,All,All,41647,237,452.5,"[426.4, 480.1]",Douglas
All,Invasive,Ferry,2016-2020,All,Male,All,3694,18,261.9,"[206.1, 337.7]",Ferry
All,Invasive,Ferry,2016-2020,All,Female,All,3550,20,334.4,"[264.3, 425.9]",Ferry
All,Invasive,Ferry,2016-2020,All,All,All,7245,38,298.5,"[253.0, 353.6]",Ferry
All,Invasive,Franklin,2016-2020,All,Male,All,47829,132,353.7,"[326.0, 383.6]",Franklin
All,Invasive,Franklin,2016-2020,All,Female,All,44703,127,334.9,"[308.8, 362.8]",Franklin
All,Invasive,Franklin,2016-2020,All,All,All,92532,260,341.6,"[322.7, 361.4]",Franklin
All,Invasive,Garfield,2016-2020,All,Male,All,1149,6,266.7,"[171.4, 430.6]",Garfield
All,Invasive,Garfield,2016-2020,All,Female,All,1124,8,430.5,"[293.5, 659.0]",Garfield
All,Invasive,Garfield,2016-2020,All,All,All,2272,13,347.4,"[262.3, 466.7]",Garfield
All,Invasive,Grant,2016-2020,All,Male,All,49209,221,430.8,"[405.2, 457.8]",Grant
All,Invasive,Grant,2016-2020,All,Female,All,46950,189,370.9,"[347.1, 396.0]",Grant
All,Invasive,Grant,2016-2020,All,All,All,96159,410,397.9,"[380.5, 416.0]",Grant
All,Invasive,Grays Harbor,2016-2020,All,Male,All,38179,279,495.3,"[468.4, 523.7]",Grays Harbor
All,Invasive,Grays Harbor,2016-2020,All,Female,All,36373,256,458.7,"[432.1, 486.9]",Grays Harbor
All,Invasive,Grays Harbor,2016-2020,All,All,All,74552,535,473.6,"[454.9, 493.1]",Grays Harbor
All,Invasive,Island,2016-2020,All,Male,All,42072,322,486.1,"[461.1, 512.5]",Island
All,Invasive,Island,2016-2020,All,Female,All,42860,297,433.5,"[409.5, 459.1]",Island
All,Invasive,Island,2016-2020,All,All,All,84932,619,455.6,"[438.3, 473.5]",Island
